Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,46.09799,46.77032,47.45809,48.60732,49.8842,51.16108,52.31031,52.99808,53.67041
1,50.83131,51.52262,52.2298,53.41147,54.7244,56.03733,57.219,57.92618,58.61749
2,54.42396,55.13442,55.8612,57.0756,58.4249,59.7742,60.9886,61.71538,62.42584
3,57.34047,58.06652,58.80924,60.0503,61.4292,62.8081,64.04916,64.79188,65.51793
4,59.72447,60.46344,61.21939,62.48254,63.886,65.28946,66.55261,67.30856,68.04753
5,61.67956,62.42946,63.19658,64.4784,65.9026,67.3268,68.60862,69.37574,70.12564
6,63.34303,64.10314,64.88071,66.18,67.6236,69.0672,70.36649,71.14406,71.90417
7,64.82235,65.5934,66.38216,67.70013,69.1645,70.62887,71.94684,72.7356,73.50665
8,66.18835,66.97163,67.77291,69.1118,70.5994,72.087,73.42589,74.22717,75.01045
9,67.48217,68.27886,69.09384,70.45564,71.9687,73.48176,74.84356,75.65854,76.45523
10,68.71138,69.52286,70.35297,71.74005,73.2812,74.82235,76.20943,77.03954,77.85102
11,69.88013,70.70738,71.55363,72.96769,74.5388,76.10991,77.52397,78.37022,79.19748
12,70.99632,71.84023,72.70353,74.14605,75.7488,77.35155,78.79407,79.65737,80.50128
13,72.06657,72.92816,73.80954,75.28228,76.9186,78.55492,80.02766,80.90904,81.77063
14,73.09511,73.97491,74.87492,76.37879,78.0497,79.72061,81.22448,82.12449,83.0043
15,74.08522,74.98384,75.9031,77.43914,79.1458,80.85246,82.3885,83.30776,84.20638
16,75.04248,75.96033,76.89925,78.46814,80.2113,81.95446,83.52335,84.46227,85.38012
17,75.96753,76.90533,77.86466,79.46765,81.2487,83.02975,84.63274,85.59207,86.52987
18,76.86417,77.8221,78.80202,80.43942,82.2587,84.07798,85.71538,86.6953,87.65323
19,77.73119,78.70973,79.71074,81.38338,83.2418,85.10022,86.77286,87.77387,88.75241
20,78.5717,79.57106,80.59338,82.30162,84.1996,86.09758,87.80582,88.82814,89.8275
21,79.3865,80.40724,81.45143,83.19621,85.1348,87.07339,88.81817,89.86236,90.8831
22,80.17925,81.22133,82.28734,84.06859,86.0477,88.02681,89.80806,90.87407,91.91615
23,80.95077,82.01447,83.1026,84.92082,86.941,88.96118,90.7794,91.86753,92.93123
24,79.91084,80.72977,81.99171,84.10289,86.4522,88.80525,90.92619,92.19688,93.02265
24.5,80.26037,81.08868,82.36401,84.49471,86.86161,89.22805,91.35753,92.63177,93.45923
25.5,81.00529,81.83445,83.11387,85.25888,87.65247,90.05675,92.22966,93.53407,94.38278
26.5,81.73416,82.56406,83.84716,86.00517,88.42326,90.8626,93.07608,94.40885,95.27762
27.5,82.44846,83.27899,84.56534,86.73507,89.17549,91.64711,93.89827,95.25754,96.14512
28.5,83.14945,83.98045,85.26962,87.44977,89.91041,92.41159,94.69757,96.08149,96.98663
29.5,83.83819,84.66948,85.96098,88.15028,90.62908,93.15719,95.47522,96.88198,97.80345
30.5,84.51558,85.34694,86.64027,88.83745,91.33242,93.88496,96.23239,97.66027,98.59691
31.5,85.18238,86.01357,87.3082,89.51202,92.02127,94.59585,96.97022,98.41758,99.36828
32.5,85.83925,86.66999,87.9654,90.17464,92.69638,95.2908,97.68978,99.15514,100.1189
33.5,86.48678,87.3168,88.61244,90.82592,93.35847,95.97068,98.39218,99.87416,100.8501
34.5,87.12552,87.95452,89.24986,91.46645,94.00823,96.63637,99.07848,100.5759,101.5631
35.5,87.75597,88.58366,89.87816,92.0968,94.64637,97.28875,99.74979,101.2615,102.2593
36.5,88.37864,89.20473,90.49789,92.71756,95.27359,97.9287,100.4072,101.9324,102.9402
