Month,Years,L,M,S,SD,0.1st,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th,99.9th
37,3.083333333,1,49.5367,0.02875,1.42418,45.1,46.2,46.9,47.2,47.7,48.1,48.6,49.5,50.5,51,51.4,51.9,52.2,52.8,53.9
38,3.166666667,1,49.6093,0.02878,1.42776,45.2,46.3,46.9,47.3,47.8,48.1,48.6,49.6,50.6,51.1,51.4,52,52.3,52.9,54
39,3.25,1,49.6791,0.02882,1.43175,45.3,46.3,47,47.3,47.8,48.2,48.7,49.7,50.6,51.2,51.5,52,52.4,53,54.1
40,3.333333333,1,49.7465,0.02886,1.43568,45.3,46.4,47,47.4,47.9,48.3,48.8,49.7,50.7,51.2,51.6,52.1,52.4,53.1,54.2
41,3.416666667,1,49.8116,0.02889,1.43906,45.4,46.5,47.1,47.4,48,48.3,48.8,49.8,50.8,51.3,51.7,52.2,52.5,53.2,54.3
42,3.5,1,49.8745,0.02893,1.44287,45.4,46.5,47.2,47.5,48,48.4,48.9,49.9,50.8,51.4,51.7,52.2,52.6,53.2,54.3
43,3.583333333,1,49.9354,0.02896,1.44613,45.5,46.6,47.2,47.6,48.1,48.4,49,49.9,50.9,51.4,51.8,52.3,52.7,53.3,54.4
44,3.666666667,1,49.9942,0.02899,1.44933,45.5,46.6,47.3,47.6,48.1,48.5,49,50,51,51.5,51.9,52.4,52.7,53.4,54.5
45,3.75,1,50.0512,0.02903,1.45299,45.6,46.7,47.3,47.7,48.2,48.5,49.1,50.1,51,51.6,51.9,52.4,52.8,53.4,54.5
46,3.833333333,1,50.1064,0.02906,1.45609,45.6,46.7,47.4,47.7,48.2,48.6,49.1,50.1,51.1,51.6,52,52.5,52.8,53.5,54.6
47,3.916666667,1,50.1598,0.02909,1.45915,45.7,46.8,47.4,47.8,48.3,48.6,49.2,50.2,51.1,51.7,52,52.6,52.9,53.6,54.7
48,4,1,50.2115,0.02912,1.46216,45.7,46.8,47.5,47.8,48.3,48.7,49.2,50.2,51.2,51.7,52.1,52.6,53,53.6,54.7
49,4.083333333,1,50.2617,0.02915,1.46513,45.7,46.9,47.5,47.9,48.4,48.7,49.3,50.3,51.2,51.8,52.1,52.7,53,53.7,54.8
50,4.166666667,1,50.3105,0.02918,1.46806,45.8,46.9,47.5,47.9,48.4,48.8,49.3,50.3,51.3,51.8,52.2,52.7,53.1,53.7,54.8
51,4.25,1,50.3578,0.02921,1.47095,45.8,46.9,47.6,47.9,48.5,48.8,49.4,50.4,51.3,51.9,52.2,52.8,53.1,53.8,54.9
52,4.333333333,1,50.4039,0.02924,1.47381,45.8,47,47.6,48,48.5,48.9,49.4,50.4,51.4,51.9,52.3,52.8,53.2,53.8,55
53,4.416666667,1,50.4488,0.02927,1.47664,45.9,47,47.7,48,48.6,48.9,49.5,50.4,51.4,52,52.3,52.9,53.2,53.9,55
54,4.5,1,50.4926,0.02929,1.47893,45.9,47.1,47.7,48.1,48.6,49,49.5,50.5,51.5,52,52.4,52.9,53.3,53.9,55.1
55,4.583333333,1,50.5354,0.02932,1.4817,46,47.1,47.7,48.1,48.6,49,49.5,50.5,51.5,52.1,52.4,53,53.3,54,55.1
56,4.666666667,1,50.5772,0.02935,1.48444,46,47.1,47.8,48.1,48.7,49,49.6,50.6,51.6,52.1,52.5,53,53.4,54,55.2
57,4.75,1,50.6183,0.02938,1.48717,46,47.2,47.8,48.2,48.7,49.1,49.6,50.6,51.6,52.2,52.5,53.1,53.4,54.1,55.2
58,4.833333333,1,50.6587,0.0294,1.48937,46.1,47.2,47.9,48.2,48.8,49.1,49.7,50.7,51.7,52.2,52.6,53.1,53.5,54.1,55.3
59,4.916666667,1,50.6984,0.02943,1.49205,46.1,47.2,47.9,48.2,48.8,49.2,49.7,50.7,51.7,52.2,52.6,53.2,53.5,54.2,55.3
60,5,1,50.7375,0.02946,1.49473,46.1,47.3,47.9,48.3,48.8,49.2,49.7,50.7,51.7,52.3,52.7,53.2,53.5,54.2,55.4
