Month,Years,L,M,S,SD,0.1st,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th,99.9th
37,3.083333333,1,48.5926,0.02909,1.41356,44.2,45.3,45.9,46.3,46.8,47.1,47.6,48.6,49.5,50.1,50.4,50.9,51.3,51.9,53
38,3.166666667,1,48.6722,0.02906,1.41441,44.3,45.4,46,46.3,46.9,47.2,47.7,48.7,49.6,50.1,50.5,51,51.3,52,53
39,3.25,1,48.7489,0.02903,1.41518,44.4,45.5,46.1,46.4,46.9,47.3,47.8,48.7,49.7,50.2,50.6,51.1,51.4,52,53.1
40,3.333333333,1,48.8228,0.029,1.41586,44.4,45.5,46.2,46.5,47,47.4,47.9,48.8,49.8,50.3,50.6,51.2,51.5,52.1,53.2
41,3.416666667,1,48.8941,0.02897,1.41646,44.5,45.6,46.2,46.6,47.1,47.4,47.9,48.9,49.8,50.4,50.7,51.2,51.6,52.2,53.3
42,3.5,1,48.9629,0.02894,1.41699,44.6,45.7,46.3,46.6,47.1,47.5,48,49,49.9,50.4,50.8,51.3,51.6,52.3,53.3
43,3.583333333,1,49.0294,0.02891,1.41744,44.6,45.7,46.4,46.7,47.2,47.6,48.1,49,50,50.5,50.8,51.4,51.7,52.3,53.4
44,3.666666667,1,49.0937,0.02888,1.41783,44.7,45.8,46.4,46.8,47.3,47.6,48.1,49.1,50.1,50.6,50.9,51.4,51.8,52.4,53.5
45,3.75,1,49.156,0.02886,1.41864,44.8,45.9,46.5,46.8,47.3,47.7,48.2,49.2,50.1,50.6,51,51.5,51.8,52.5,53.5
46,3.833333333,1,49.2164,0.02883,1.41891,44.8,45.9,46.5,46.9,47.4,47.7,48.3,49.2,50.2,50.7,51,51.6,51.9,52.5,53.6
47,3.916666667,1,49.2751,0.0288,1.41912,44.9,46,46.6,46.9,47.5,47.8,48.3,49.3,50.2,50.7,51.1,51.6,51.9,52.6,53.7
48,4,1,49.3321,0.02878,1.41978,44.9,46,46.7,47,47.5,47.9,48.4,49.3,50.3,50.8,51.2,51.7,52,52.6,53.7
49,4.083333333,1,49.3877,0.02875,1.4199,45,46.1,46.7,47.1,47.6,47.9,48.4,49.4,50.3,50.9,51.2,51.7,52.1,52.7,53.8
50,4.166666667,1,49.4419,0.02873,1.42047,45.1,46.1,46.8,47.1,47.6,48,48.5,49.4,50.4,50.9,51.3,51.8,52.1,52.7,53.8
51,4.25,1,49.4947,0.0287,1.4205,45.1,46.2,46.8,47.2,47.7,48,48.5,49.5,50.5,51,51.3,51.8,52.2,52.8,53.9
52,4.333333333,1,49.5464,0.02868,1.42099,45.2,46.2,46.9,47.2,47.7,48.1,48.6,49.5,50.5,51,51.4,51.9,52.2,52.9,53.9
53,4.416666667,1,49.5969,0.02865,1.42095,45.2,46.3,46.9,47.3,47.8,48.1,48.6,49.6,50.6,51.1,51.4,51.9,52.3,52.9,54
54,4.5,1,49.6464,0.02863,1.42138,45.3,46.3,47,47.3,47.8,48.2,48.7,49.6,50.6,51.1,51.5,52,52.3,53,54
55,4.583333333,1,49.6947,0.02861,1.42177,45.3,46.4,47,47.4,47.9,48.2,48.7,49.7,50.7,51.2,51.5,52,52.4,53,54.1
56,4.666666667,1,49.7421,0.02859,1.42213,45.3,46.4,47.1,47.4,47.9,48.3,48.8,49.7,50.7,51.2,51.6,52.1,52.4,53.1,54.1
57,4.75,1,49.7885,0.02856,1.42196,45.4,46.5,47.1,47.4,48,48.3,48.8,49.8,50.7,51.3,51.6,52.1,52.5,53.1,54.2
58,4.833333333,1,49.8341,0.02854,1.42227,45.4,46.5,47.2,47.5,48,48.4,48.9,49.8,50.8,51.3,51.7,52.2,52.5,53.1,54.2
59,4.916666667,1,49.8789,0.02852,1.42255,45.5,46.6,47.2,47.5,48.1,48.4,48.9,49.9,50.8,51.4,51.7,52.2,52.6,53.2,54.3
60,5,1,49.9229,0.0285,1.4228,45.5,46.6,47.2,47.6,48.1,48.4,49,49.9,50.9,51.4,51.7,52.3,52.6,53.2,54.3
